cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=1 MeV - angular distribution (1/sr),E=1 eV - Angular distribution (1/sr),1 MeV cross section (barn),Ef/Ei
-0.37,111.7156173,0.929031754,0.008316042,0.63,1.474653578,55.85780864,0.338183019,1.646850206,0.500422283,0.500000001,1.479738056,0.315
-0.36,111.100196,0.932952303,0.008397396,0.64,1.457737974,55.55009801,0.338175978,1.646850206,0.500411865,0.500000001,1.479738056,0.32
-0.35,110.4873151,0.9367497,0.008478346,0.65,1.441153384,55.24365756,0.338168927,1.646850206,0.500401431,0.500000001,1.479738056,0.325
-0.34,109.8768741,0.940425436,0.008558902,0.66,1.424887024,54.93843704,0.338161866,1.646850206,0.500390982,0.500000001,1.479738056,0.33
-0.33,109.2687755,0.943980932,0.008639073,0.67,1.408926764,54.63438775,0.338154794,1.646850206,0.500380518,0.500000001,1.479738056,0.335
-0.32,108.6629249,0.947417543,0.008718867,0.68,1.393261092,54.33146244,0.338147712,1.646850206,0.500370038,0.500000001,1.479738056,0.34
-0.31,108.0592305,0.950736557,0.008798291,0.69,1.377879067,54.02961525,0.338140619,1.646850206,0.500359542,0.500000001,1.479738056,0.345
-0.3,107.4576031,0.953939201,0.008877354,0.7,1.362770288,53.72880156,0.338133516,1.646850206,0.500349031,0.500000001,1.479738056,0.35
-0.29,106.857956,0.957026645,0.008956064,0.71,1.347924853,53.42897801,0.338126402,1.646850206,0.500338505,0.500000001,1.479738056,0.355
-0.28,106.2602047,0.96,0.009034426,0.72,1.333333333,53.13010235,0.338119278,1.646850205,0.500327963,0.500000001,1.479738056,0.36
-0.27,105.6642669,0.962860322,0.00911245,0.73,1.318986743,52.83213343,0.338112143,1.646850205,0.500317405,0.500000001,1.479738056,0.365
-0.26,105.0700621,0.965608616,0.00919014,0.74,1.304876509,52.53503107,0.338104998,1.646850205,0.500306832,0.500000001,1.479738056,0.37
-0.25,104.4775122,0.968245837,0.009267505,0.75,1.290994449,52.23875609,0.338097842,1.646850205,0.500296243,0.500000001,1.479738056,0.375
-0.24,103.8865404,0.970772888,0.009344549,0.76,1.277332747,51.94327018,0.338090676,1.646850205,0.500285639,0.500000001,1.479738056,0.38
-0.23,103.2970717,0.973190629,0.00942128,0.77,1.263883934,51.64853587,0.338083499,1.646850205,0.500275019,0.500000001,1.479738056,0.385
-0.22,102.709033,0.975499872,0.009497703,0.78,1.250640861,51.3545165,0.338076311,1.646850205,0.500264383,0.500000001,1.479738056,0.39
-0.21,102.1223522,0.977701386,0.009573824,0.79,1.237596691,51.06117612,0.338069113,1.646850205,0.500253732,0.500000001,1.479738056,0.395
-0.2,101.536959,0.979795897,0.009649648,0.8,1.224744871,50.76847952,0.338061905,1.646850205,0.500243065,0.5,1.479738056,0.4
-0.19,100.9527842,0.98178409,0.009725181,0.81,1.212079124,50.4763921,0.338054685,1.646850205,0.500232383,0.5,1.479738056,0.405
-0.18,100.3697598,0.98366661,0.009800428,0.82,1.199593427,50.1848799,0.338047456,1.646850205,0.500221685,0.5,1.479738056,0.41
-0.17,99.78781906,0.985444062,0.009875394,0.83,1.187282003,49.89390953,0.338040215,1.646850205,0.500210971,0.5,1.479738056,0.415
-0.16,99.20689622,0.987117014,0.009950085,0.84,1.175139303,49.60344811,0.338032964,1.646850204,0.500200242,0.5,1.479738056,0.42
-0.15,98.62692656,0.988685997,0.010024504,0.85,1.163159996,49.31346328,0.338025703,1.646850204,0.500189496,0.5,1.479738056,0.425
-0.14,98.04784625,0.990151504,0.010098656,0.86,1.151338958,49.02392312,0.338018431,1.646850204,0.500178736,0.5,1.479738056,0.43
-0.13,97.46959232,0.991513994,0.010172547,0.87,1.139671257,48.73479616,0.338011148,1.646850204,0.500167959,0.5,1.479738056,0.435
-0.12,96.89210258,0.992773892,0.01024618,0.88,1.12815215,48.44605129,0.338003855,1.646850204,0.500157167,0.5,1.479738056,0.44
-0.11,96.31531557,0.993931587,0.010319559,0.89,1.116777064,48.15765778,0.337996551,1.646850204,0.500146359,0.5,1.479738056,0.445
-0.1,95.73917048,0.994987437,0.010392689,0.9,1.105541597,47.86958524,0.337989236,1.646850204,0.500135535,0.5,1.479738056,0.45
-0.09,95.16360709,0.995941765,0.010465574,0.91,1.0944415,47.58180355,0.337981911,1.646850204,0.500124695,0.5,1.479738056,0.455
-0.08,94.58856574,0.996794864,0.010538217,0.92,1.083472678,47.29428287,0.337974575,1.646850204,0.50011384,0.5,1.479738056,0.46
-0.07,94.01398722,0.997546991,0.010610623,0.93,1.072631174,47.00699361,0.337967228,1.646850204,0.500102969,0.5,1.479738056,0.465
-0.06,93.43981277,0.998198377,0.010682795,0.94,1.061913167,46.71990638,0.337959871,1.646850204,0.500092082,0.5,1.479738056,0.47
-0.05,92.86598398,0.998749218,0.010754737,0.95,1.051314966,46.43299199,0.337952503,1.646850204,0.50008118,0.5,1.479738056,0.475
-0.04,92.29244278,0.99919968,0.010826452,0.96,1.040833,46.14622139,0.337945124,1.646850204,0.500070261,0.5,1.479738056,0.48
-0.03,91.71913132,0.999549899,0.010897943,0.97,1.030463813,45.85956566,0.337937735,1.646850203,0.500059327,0.5,1.479738056,0.485
