cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1.000069 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=998 keV - angular distribution (1/sr),E=45.81 keV - Angular ddistribution (1/sr),1 MeV cross section (barn),Ef/Ei
0.64,50.2081805,0.768374908,0.015303779,0.657857143,1.167996604,49.430957,0.169440909,0.958913086,0.530782835,0.532739973,3.132554214,0.993684211
0.65,49.45839813,0.759934208,0.01536512,0.667857143,1.137869402,48.68984718,0.172881529,0.95891314,0.541941687,0.53403495,3.1347576,0.993859649
0.66,48.70012721,0.751265599,0.015426358,0.677857143,1.108294877,47.9404762,0.176423728,0.958913196,0.553468329,0.53536958,3.137153581,0.994035088
0.67,47.9329352,0.742361098,0.015487495,0.687857143,1.079237318,47.18241949,0.180069158,0.958913254,0.565369209,0.536745042,3.139733736,0.994210526
0.68,47.15635696,0.733212111,0.015548532,0.697857143,1.050662186,46.41522046,0.183819485,0.958913313,0.577650834,0.538162531,3.142489675,0.994385965
0.69,46.36989113,0.723809367,0.015609469,0.707857143,1.022535937,45.63838701,0.18767639,0.958913374,0.590319768,0.539623256,3.145413059,0.994561404
0.7,45.572996,0.714142843,0.015670307,0.717857143,0.994825851,44.8513874,0.191641567,0.958913437,0.603382635,0.541128444,3.148495632,0.994736842
0.71,44.76508467,0.704201676,0.015731048,0.727857143,0.967499849,44.05364559,0.195716722,0.958913502,0.616846114,0.542679337,3.151729238,0.994912281
0.72,43.94551956,0.693974063,0.015791691,0.737857143,0.94052632,43.24453576,0.199903577,0.958913569,0.630716944,0.544277195,3.155105841,0.995087719
0.73,43.11360595,0.683447145,0.015852238,0.747857143,0.913873928,42.42337604,0.204203868,0.958913638,0.64500192,0.545923292,3.158617548,0.995263158
0.74,42.26858443,0.672606869,0.01591269,0.757857143,0.88751142,41.58942105,0.208619342,0.958913709,0.659707896,0.547618918,3.162256619,0.995438596
0.75,41.40962211,0.661437828,0.015973047,0.767857143,0.861407404,40.7418533,0.213151763,0.958913782,0.674841783,0.549365381,3.166015486,0.995614035
0.76,40.53580211,0.649923072,0.01603331,0.777857143,0.835530121,39.87977283,0.217802907,0.958913857,0.690410552,0.551164003,3.16988676,0.995789474
0.77,39.64611115,0.638043886,0.01609348,0.787857143,0.80984718,39.00218508,0.222574564,0.958913935,0.706421228,0.553016122,3.173863245,0.995964912
0.78,38.7394246,0.625779514,0.016153557,0.797857143,0.784325264,38.10798618,0.227468538,0.958914015,0.722880897,0.554923095,3.177937947,0.996140351
0.79,37.81448851,0.613106842,0.016213543,0.807857143,0.758929778,37.19594528,0.232486645,0.958914097,0.739796702,0.556886292,3.182104075,0.996315789
0.8,36.86989765,0.6,0.016273438,0.817857143,0.733624454,36.26468305,0.237630719,0.958914181,0.757175843,0.5589071,3.186355054,0.996491228
0.81,35.90406858,0.586429876,0.016333243,0.827857143,0.70837086,35.31264518,0.242902603,0.958914268,0.775025578,0.560986922,3.190684525,0.996666667
0.82,34.91520625,0.572363521,0.016392958,0.837857143,0.683127817,34.33806959,0.248304158,0.958914358,0.793353224,0.563127178,3.195086347,0.996842105
0.83,33.901262,0.557763391,0.016452585,0.847857143,0.657850671,33.33894522,0.253837254,0.95891445,0.812166154,0.565329303,3.199554602,0.997017544
0.84,32.85988038,0.542586399,0.016512123,0.857857143,0.63249039,32.31295979,0.259503779,0.958914545,0.831471801,0.567594748,3.204083592,0.997192982
0.85,31.78833062,0.526782688,0.016571574,0.867857143,0.606992397,31.25743245,0.265305633,0.958914643,0.851277654,0.569924981,3.208667842,0.997368421
0.86,30.68341711,0.510294033,0.016630939,0.877857143,0.581295074,30.16922595,0.27124473,0.958914743,0.871591261,0.572321485,3.213302095,0.99754386
0.87,29.5413605,0.493051721,0.016690217,0.887857143,0.555327763,29.0446298,0.277322998,0.958914846,0.892420226,0.574785759,3.217981315,0.997719298
0.88,28.35763658,0.474973683,0.01674941,0.897857143,0.52900808,27.87920207,0.283542378,0.958914952,0.913772213,0.57731932,3.222700679,0.997894737
0.89,27.12675312,0.455960525,0.016808518,0.907857143,0.502238186,26.66755019,0.289904824,0.958915061,0.935654942,0.579923699,3.227455578,0.998070175
0.9,25.84193276,0.435889894,0.016867542,0.917857143,0.474899496,25.40301953,0.296412307,0.958915173,0.958076193,0.582600444,3.23224161,0.998245614
0.91,24.49464847,0.414608249,0.016926483,0.927857143,0.446844918,24.07723708,0.303066809,0.958915288,0.981043801,0.585351118,3.237054578,0.998421053
0.92,23.07391807,0.391918359,0.016985341,0.937857143,0.417887054,22.67941854,0.309870326,0.958915407,1.004565661,0.588177302,3.241890484,0.998596491
0.93,21.56518502,0.367559519,0.017044116,0.947857143,0.387779447,21.19526904,0.316824869,0.958915528,1.028649725,0.591080591,3.246745527,0.99877193
0.94,19.94844359,0.341174442,0.01710281,0.957857143,0.3561851,19.60514149,0.323932461,0.958915653,1.053304003,0.594062598,3.251616093,0.998947368
0.95,18.19487234,0.3122499,0.017161423,0.967857143,0.322619823,17.88072972,0.331195141,0.958915781,1.078536562,0.59712495,3.256498753,0.999122807
0.96,16.26020471,0.28,0.017219955,0.977857143,0.286340394,15.97855638,0.338614959,0.958915913,1.104355529,0.600269291,3.261390258,0.999298246
0.97,14.06986775,0.243104916,0.017278408,0.987857143,0.24609319,13.82537414,0.346193982,0.958916048,1.130769086,0.603497283,3.266287529,0.999473684
0.98,11.47834095,0.198997487,0.017336781,0.997857143,0.199424826,11.27824145,0.353934288,0.958916187,1.157785475,0.606810601,3.271187657,0.999649123
0.99,8.109614456,0.14106736,0.017395076,1.007857143,0.139967614,7.96779049,0.36183797,0.958916329,1.185412994,0.610210937,3.276087894,0.999824561
1,0,0,#DIV/0!,1.017857143,0,0,0.369907135,0.958916475,1.21366,0.6137,3.280985646,1
